x,y,z1,z2,z3,z4
0.5,0.5,-128.3855,-2.6176414,-0.9539182,3.5715597
0.5,0.55,-128.466,-2.7595936,-0.7585608,3.5181545
0.5,0.6,-128.5304,-2.860347,-0.6110406,3.4713877
0.5,0.65,-128.5825,-2.933411,-0.4972707,3.4306817
0.5,0.7,-128.6251,-2.9874271,-0.4079644,3.3953915
0.5,0.75,-128.6602,-3.0281246,-0.3367668,3.3648915
0.5,0.8,-128.6892,-3.059371,-0.2792468,3.3386178
0.5,0.85,-128.7133,-3.0837744,-0.232288,3.3160624
0.5,0.9,-128.7333,-3.1031038,-0.1936478,3.2967516
0.5,0.95,-128.7501,-3.1185913,-0.1616527,3.2802441
0.5,1.0,-128.7641,-3.1311136,-0.1350231,3.2661368
0.5,1.05,-128.7757,-3.1413113,-0.1127596,3.254071
0.5,1.1,-128.7855,-3.1496543,-0.0940796,3.2437339
0.5,1.15,-128.7936,-3.1564982,-0.078359,3.2348572
0.5,1.2,-128.8004,-3.1621121,-0.0651019,3.227214
0.5,1.25,-128.806,-3.1667091,-0.0539053,3.2206144
0.5,1.3,-128.8106,-3.1704614,-0.0444397,3.2149012
0.5,1.35,-128.8144,-3.1735087,-0.0364364,3.2099451
0.5,1.4,-128.8175,-3.1759726,-0.0296677,3.2056403
0.5,1.45,-128.82,-3.1779534,-0.0239462,3.2018996
0.5,1.5,-128.8221,-3.1795348,-0.0191154,3.1986502
0.5,1.55,-128.8237,-3.1807892,-0.0150413,3.1958305
0.5,1.6,-128.8249,-3.1817742,-0.011613,3.1933873
0.5,1.65,-128.8259,-3.1825352,-0.0087384,3.1912736
0.5,1.7,-128.8266,-3.1831098,-0.0063382,3.1894481
0.5,1.75,-128.8271,-3.1835284,-0.0043456,3.187874
0.5,1.8,-128.8274,-3.1838143,-0.0027046,3.1865189
0.5,1.85,-128.8276,-3.1839867,-0.0013674,3.1853541
0.5,1.9,-128.8277,-3.1840626,-0.000292,3.1843547
0.5,1.95,-128.8277,-3.1840569,0.0005584,3.1834984
0.5,2.0,-128.8276,-3.1839829,0.0012169,3.1827659
0.5,2.05,-128.8275,-3.1838523,0.0017123,3.18214
0.5,2.1,-128.8273,-3.1836761,0.0020704,3.1816056
0.5,2.15,-128.8271,-3.1834646,0.0023157,3.1811489
0.5,2.2,-128.8268,-3.1832281,0.0024699,3.1807582
0.5,2.25,-128.8266,-3.1829752,0.0025521,3.1804231
0.5,2.3,-128.8264,-3.1827125,0.0025776,3.1801348
0.5,2.35,-128.8261,-3.1824458,0.0025599,3.1798859
0.5,2.4,-128.8259,-3.1821806,0.0025107,3.1796698
0.5,2.45,-128.8257,-3.1819214,0.00244,3.1794814
0.5,2.5,-128.8254,-3.1816716,0.002355,3.1793165
0.5,2.55,-128.8252,-3.1814319,0.0022604,3.1791715
0.5,2.6,-128.825,-3.1812022,0.0021586,3.1790435
0.5,2.65,-128.8248,-3.1809823,0.002052,3.1789302
0.5,2.7,-128.8246,-3.1807724,0.0019426,3.1788297
0.5,2.75,-128.8244,-3.1805732,0.0018329,3.1787402
0.5,2.8,-128.8243,-3.1803853,0.0017248,3.1786605
0.5,2.85,-128.8241,-3.1802088,0.0016193,3.1785894
0.5,2.9,-128.824,-3.1800431,0.0015171,3.1785259
0.5,2.95,-128.8238,-3.1798877,0.0014184,3.1784693
0.5,3.0,-128.8237,-3.1797421,0.0013233,3.1784187
0.5,3.05,-128.8236,-3.1796057,0.001232,3.1783737
0.5,3.1,-128.8235,-3.1794783,0.0011446,3.1783336
0.5,3.15,-128.8234,-3.1793595,0.0010613,3.1782981
0.5,3.2,-128.8233,-3.1792487,0.000982,3.1782667
0.5,3.25,-128.8232,-3.1791453,0.0009065,3.1782388
0.5,3.3,-128.8231,-3.1790491,0.0008349,3.1782142
0.5,3.35,-128.823,-3.1789599,0.0007675,3.1781924
0.5,3.4,-128.8229,-3.1788775,0.0007042,3.1781733
0.5,3.45,-128.8229,-3.1788018,0.0006451,3.1781566
0.5,3.5,-128.8228,-3.1787325,0.0005903,3.1781421
0.5,3.55,-128.8228,-3.1786691,0.0005395,3.1781296
0.5,3.6,-128.8227,-3.1786111,0.0004923,3.1781188
0.5,3.65,-128.8227,-3.1785578,0.0004484,3.1781093
0.5,3.7,-128.8226,-3.1785089,0.0004076,3.1781012
0.5,3.75,-128.8226,-3.1784641,0.0003699,3.1780941
0.5,3.8,-128.8226,-3.1784232,0.0003352,3.178088
0.5,3.85,-128.8225,-3.1783865,0.0003036,3.1780828
0.5,3.9,-128.8225,-3.1783537,0.0002751,3.1780785
0.5,3.95,-128.8225,-3.1783246,0.0002495,3.1780751
0.5,4.0,-128.8225,-3.1782984,0.0002262,3.1780722
0.55,0.5,-128.6693,-1.6086794,-0.8979281,2.5066075
0.55,0.55,-128.7448,-1.7456243,-0.7095153,2.4551397
0.55,0.6,-128.8048,-1.8419928,-0.5683823,2.4103751
0.55,0.65,-128.8532,-1.9113131,-0.4603384,2.3716515
0.55,0.7,-128.8926,-1.9621811,-0.3760734,2.3382546
0.55,0.75,-128.9248,-2.0002054,-0.309283,2.3094884
0.55,0.8,-128.9514,-2.0291189,-0.2556129,2.2847319
0.55,0.85,-128.9735,-2.0514399,-0.2120071,2.2634471
0.55,0.9,-128.9917,-2.0688939,-0.1762686,2.2451626
0.55,0.95,-129.007,-2.0826938,-0.1467667,2.2294605
0.55,1.0,-129.0196,-2.0937052,-0.1222661,2.2159713
0.55,1.05,-129.0302,-2.1025578,-0.1018127,2.2043705
0.55,1.1,-129.039,-2.1097095,-0.0846675,2.194377
0.55,1.15,-129.0463,-2.1155023,-0.0702467,2.1857491
0.55,1.2,-129.0523,-2.1201903,-0.058091,2.1782814
0.55,1.25,-129.0573,-2.1239706,-0.0478296,2.1718003
0.55,1.3,-129.0614,-2.126999,-0.0391613,2.1661604
0.55,1.35,-129.0648,-2.1293994,-0.0318407,2.1612401
0.55,1.4,-129.0675,-2.1312781,-0.0256605,2.1569386
0.55,1.45,-129.0696,-2.1327226,-0.0204492,2.1531718
0.55,1.5,-129.0714,-2.1338067,-0.0160628,2.1498696
0.55,1.55,-129.0727,-2.1345953,-0.0123778,2.1469732
0.55,1.6,-129.0737,-2.135142,-0.0092909,2.1444329
0.55,1.65,-129.0745,-2.1354901,-0.0067163,2.1422065
0.55,1.7,-129.075,-2.1356773,-0.0045802,2.1402575
0.55,1.75,-129.0753,-2.1357345,-0.0028198,2.1385544
0.55,1.8,-129.0755,-2.1356861,-0.0013832,2.1370693
0.55,1.85,-129.0756,-2.135552,-0.0002256,2.1357777
0.55,1.9,-129.0756,-2.1353495,0.0006921,2.1346574
0.55,1.95,-129.0755,-2.1350932,0.001405,2.1336882
0.55,2.0,-129.0753,-2.1347954,0.0019438,2.1328516
0.55,2.05,-129.0751,-2.1344662,0.0023355,2.1321306
0.55,2.1,-129.0749,-2.1341145,0.0026048,2.1315096
0.55,2.15,-129.0746,-2.1337488,0.0027744,2.1309743
