x,y,z1,z2,z3,z4
2.0,0.5,-129.4093,0.5682521,-0.557522,-0.0107301
2.0,0.55,-129.4545,0.417726,-0.4069687,-0.0107572
2.0,0.6,-129.4876,0.3102658,-0.2994726,-0.0107931
2.05,0.5,-129.2642,0.414687,-0.4213407,0.0066536
2.05,0.55,-129.4535,0.4167094,-0.4069103,-0.0097991
2.05,0.6,-129.4866,0.3092967,-0.2994148,-0.0098818
2.1,0.5,-129.2647,0.4163842,-0.4216024,0.0052182
2.1,0.55,-129.4526,0.4156508,-0.4068056,-0.0088451
2.1,0.6,-129.4857,0.3082841,-0.2993126,-0.0089715
2.15,0.5,-129.4067,0.5650315,-0.5572552,-0.0077763
2.15,0.55,-129.2975,0.2675769,-0.2717984,0.0042214
2.15,0.6,-129.4849,0.3072737,-0.2991685,-0.0081051
2.2,0.5,-129.406,0.5639434,-0.5570834,-0.00686
2.2,0.55,-129.2979,0.2687999,-0.2719931,0.0031932
2.2,0.6,-129.4842,0.3062455,-0.2989856,-0.0072599
2.25,0.5,-129.2657,0.4199986,-0.4222247,0.0022261
2.25,0.55,-129.4505,0.4124331,-0.4062548,-0.0061783
2.25,0.6,-129.4835,0.305181,-0.2987682,-0.0064127
2.3,0.5,-129.2659,0.4207593,-0.4223787,0.0016194
2.3,0.55,-129.2983,0.2705485,-0.2723051,0.0017565
2.3,0.6,-129.3188,0.1643862,-0.1662694,0.0018832
2.35,0.5,-129.2661,0.4213857,-0.4225095,0.0011237
2.35,0.55,-129.2985,0.2711877,-0.2724262,0.0012384
2.35,0.6,-129.4825,0.3030531,-0.2982457,-0.0048074
2.4,0.5,-129.2661,0.4219133,-0.4226184,0.0007051
2.4,0.55,-129.2986,0.2717271,-0.2725264,0.0007992
2.4,0.6,-129.319,0.1655851,-0.1664708,0.0008856
2.4,0.65,-129.4897,0.22102,-0.2326044,0.0115844
2.45,0.5,-129.2662,0.422346,-0.4227081,0.000362
2.45,0.55,-129.2986,0.2721687,-0.2726078,0.0004391
2.45,0.6,-129.3191,0.1660363,-0.1665435,0.0005072
2.45,0.65,-129.331,0.0900642,-0.0906317,0.0005675
2.5,0.5,-129.2662,0.4226866,-0.4227818,9.51e-05
2.5,0.55,-129.2987,0.2725149,-0.2726736,0.0001586
2.5,0.6,-129.3191,0.1663873,-0.1666011,0.0002138
2.5,0.65,-129.3311,0.0904198,-0.0906809,0.000261
2.55,0.5,-129.2662,0.4229317,-0.4228431,-8.85e-05
2.55,0.55,-129.4483,0.4064134,-0.4044868,-0.0019265
2.55,0.6,-129.3191,0.1666389,-0.1666468,7.9e-06
2.55,0.65,-129.3311,0.0906739,-0.0907187,4.47e-05
2.6,0.5,-129.2662,0.4230936,-0.4228949,-0.0001987
2.6,0.55,-129.2986,0.2729263,-0.2727714,-0.0001548
2.6,0.6,-129.3191,0.1668019,-0.1666833,-0.0001185
2.6,0.65,-129.3311,0.0908373,-0.0907475,-8.97e-05
2.65,0.5,-129.2662,0.4232001,-0.4229388,-0.0002613
2.65,0.55,-129.2986,0.2730329,-0.2728079,-0.0002249
2.65,0.6,-129.3191,0.1669076,-0.1667123,-0.0001953
2.7,0.5,-129.2662,0.4232868,-0.4229758,-0.0003109
2.7,0.55,-129.2986,0.2731177,-0.2728377,-0.0002799
2.7,0.6,-129.3191,0.166992,-0.1667346,-0.0002574
2.7,0.65,-129.3311,0.0910257,-0.0907838,-0.0002418
2.7,0.7,-129.3369,0.0361731,-0.0359395,-0.0002336
2.75,0.5,-129.2661,0.4233746,-0.4230074,-0.0003672
2.75,0.55,-129.2986,0.2732034,-0.2728622,-0.0003412
2.75,0.6,-129.3191,0.1670741,-0.1667516,-0.0003225
2.75,0.65,-129.331,0.0911046,-0.0907934,-0.0003111
2.8,0.5,-129.2661,0.4234532,-0.4230352,-0.000418
2.8,0.55,-129.2985,0.2732781,-0.272883,-0.0003951
2.8,0.6,-129.319,0.1671449,-0.1667652,-0.0003797
2.8,0.65,-129.331,0.0911696,-0.0907998,-0.0003697
2.8,0.7,-129.3368,0.0363105,-0.0359415,-0.0003689
2.85,0.5,-129.266,0.4235173,-0.4230601,-0.0004572
2.85,0.55,-129.2985,0.2733381,-0.2729012,-0.0004368
2.85,0.6,-129.319,0.1671996,-0.1667764,-0.0004232
2.85,0.65,-129.331,0.0912198,-0.0908039,-0.0004158
2.85,0.7,-129.3368,0.0363557,-0.0359387,-0.0004169
2.9,0.5,-129.266,0.4235673,-0.4230824,-0.0004848
2.9,0.55,-129.2985,0.2733841,-0.2729171,-0.000467
2.9,0.6,-129.3189,0.1672406,-0.1667856,-0.0004549
2.9,0.65,-129.3309,0.0912576,-0.0908062,-0.0004514
2.9,0.7,-129.3368,0.0363868,-0.0359342,-0.0004525
2.95,0.5,-129.2659,0.4236097,-0.4231016,-0.000508
2.95,0.55,-129.2984,0.2734239,-0.2729301,-0.0004938
2.95,0.6,-129.3189,0.1672774,-0.1667921,-0.0004853
2.95,0.65,-129.3309,0.0912891,-0.090806,-0.000483
2.95,0.7,-129.3367,0.0364152,-0.0359275,-0.0004877
3.0,0.5,-129.2659,0.4236402,-0.4231182,-0.000522
3.0,0.55,-129.2984,0.2734504,-0.2729409,-0.0005094
3.0,0.6,-129.3189,0.1672992,-0.1667967,-0.0005024
3.0,0.65,-129.3308,0.0913054,-0.0908045,-0.0005008
3.0,0.7,-129.3367,0.0364249,-0.0359198,-0.000505
3.05,0.5,-129.2659,0.4236421,-0.4231336,-0.0005085
3.05,0.55,-129.2983,0.2734467,-0.2729508,-0.0004959
3.05,0.6,-129.3188,0.1672895,-0.1668009,-0.0004885
3.05,0.65,-129.3308,0.0912903,-0.0908028,-0.0004875
3.05,0.7,-129.3366,0.0364046,-0.0359122,-0.0004923
3.1,0.5,-129.2658,0.4236176,-0.4231479,-0.0004697
3.1,0.55,-129.2983,0.2734179,-0.2729597,-0.0004581
3.1,0.6,-129.3188,0.167258,-0.1668042,-0.0004537
3.1,0.65,-129.3307,0.0912531,-0.0908005,-0.0004525
3.1,0.7,-129.3366,0.0363623,-0.0359044,-0.0004579
3.15,0.5,-129.2658,0.4235792,-0.4231606,-0.0004186
3.15,0.55,-129.2982,0.2733758,-0.2729673,-0.0004084
3.15,0.6,-129.3187,0.1672113,-0.1668067,-0.0004046
3.15,0.65,-129.3307,0.0912029,-0.0907975,-0.0004053
3.15,0.7,-129.3365,0.0363076,-0.0358962,-0.0004114
3.2,0.5,-129.2657,0.4235376,-0.4231711,-0.0003664
3.2,0.55,-129.2982,0.2733325,-0.2729729,-0.0003596
