x,y,z,force1_x,force2_x,force3_x
0.5,0.5,-99.9086370801,-2.620427814,-0.779841463,3.400269278
0.5,0.55,-99.9740868783,-2.766218196,-0.614129322,3.380347518
0.5,0.6,-100.026028438,-2.869562411,-0.491165824,3.360728236
0.5,0.65,-100.067831509,-2.943900223,-0.397803098,3.341703321
0.5,0.7,-100.101862051,-2.998089727,-0.325470425,3.323560152
0.5,0.75,-100.12981057,-3.03839954,-0.268253855,3.306653395
0.5,0.8,-100.152903679,-3.069179128,-0.222164869,3.291343997
0.5,0.85,-100.172061353,-3.093247486,-0.184602131,3.277849616
0.5,0.9,-100.188000424,-3.112411162,-0.153784636,3.266195798
0.5,0.95,-100.201292767,-3.127885245,-0.128384516,3.256269761
0.5,1.0,-100.212399282,-3.140526214,-0.107363769,3.247889983
0.5,1.05,-100.221693496,-3.150950243,-0.089902128,3.240852371
0.5,1.1,-100.229479836,-3.159604068,-0.075350555,3.234954623
0.5,1.15,-100.236008018,-3.166814138,-0.063194129,3.230008267
0.5,1.2,-100.24148417,-3.172823907,-0.053020738,3.225844645
0.5,1.25,-100.246079355,-3.17782236,-0.044496233,3.222318593
0.5,1.3,-100.249935998,-3.181963211,-0.037346657,3.219309869
0.5,1.35,-100.253172922,-3.185379455,-0.031343764,3.216723219
0.5,1.4,-100.255889222,-3.188189175,-0.026297826,3.214487001
0.5,1.45,-100.258167588,-3.190499346,-0.022049767,3.212549113
0.5,1.5,-100.260076994,-3.192404865,-0.018468193,3.210873058
0.5,1.55,-100.261675113,-3.193987313,-0.015444391,3.209431704
0.5,1.6,-100.263010342,-3.19531275,-0.012890309,3.208203059
0.5,1.65,-100.264123493,-3.196433816,-0.010732518,3.207166334
0.5,1.7,-100.2650491,-3.19738877,-0.008911723,3.206300493
0.5,1.75,-100.265816589,-3.198205694,-0.007377674,3.205583368
0.5,1.8,-100.266450941,-3.198905781,-0.00608723,3.204993011
0.5,1.85,-100.266973458,-3.199503587,-0.005004765,3.204508352
0.5,1.9,-100.267402226,-3.200012312,-0.004097853,3.204110165
0.5,1.95,-100.267752535,-3.200441861,-0.00334012,3.203781981
0.5,2.0,-100.268037393,-3.200801334,-0.002708673,3.203510008
0.5,2.05,-100.268267716,-3.201100764,-0.002182705,3.203283469
0.5,2.1,-100.268452691,-3.201347201,-0.001746547,3.203093747
0.5,2.15,-100.268600169,-3.201547429,-0.001386683,3.202934112
0.5,2.2,-100.268716717,-3.201709819,-0.001089851,3.20279967
0.5,2.25,-100.268807799,-3.201840273,-0.000846368,3.202686641
0.5,2.3,-100.268878111,-3.201942724,-0.000649024,3.202591748
0.5,2.35,-100.268931656,-3.202022285,-0.000490062,3.202512348
0.5,2.4,-100.268971689,-3.202084134,-0.000362034,3.202446168
0.5,2.45,-100.269000896,-3.202130828,-0.000260244,3.202391072
0.5,2.5,-100.269021575,-3.202164283,-0.000180856,3.202345139
0.5,2.55,-100.269035637,-3.202187332,-0.000119357,3.202306689
0.5,2.6,-100.269044548,-3.202203006,-7.1214e-05,3.20227422
0.5,2.65,-100.269049436,-3.202212412,-3.3951e-05,3.202246362
0.5,2.7,-100.269051259,-3.202215967,-6.066e-06,3.202222033
0.5,2.75,-100.269050822,-3.202214683,1.4255e-05,3.202200429
0.5,2.8,-100.269048728,-3.202210239,2.9385e-05,3.202180855
0.5,2.85,-100.269045381,-3.20220366,4.0906e-05,3.202162754
0.5,2.9,-100.269041102,-3.202194892,4.9132e-05,3.202145761
0.5,2.95,-100.26903619,-3.202184077,5.4383e-05,3.202129694
0.5,3.0,-100.269030894,-3.202171891,5.7445e-05,3.202114446
0.5,3.05,-100.269025372,-3.202159221,5.9292e-05,3.202099929
0.5,3.1,-100.269019714,-3.202146347,6.0356e-05,3.202085991
0.5,3.15,-100.269013996,-3.202133129,6.0509e-05,3.202072621
0.5,3.2,-100.26900831,-3.202119611,5.969e-05,3.202059921
0.5,3.25,-100.269002737,-3.202106312,5.8225e-05,3.202048087
0.5,3.3,-100.268997316,-3.202093739,5.6462e-05,3.202037277
0.5,3.35,-100.268992079,-3.202081713,5.4353e-05,3.20202736
0.5,3.4,-100.268987052,-3.202070121,5.1997e-05,3.202018124
0.5,3.45,-100.268982264,-3.202058818,4.9282e-05,3.202009536
0.5,3.5,-100.268977745,-3.202048014,4.6361e-05,3.202001653
0.5,3.55,-100.268973503,-3.202038207,4.3477e-05,3.20199473
0.5,3.6,-100.268969521,-3.202029724,4.08e-05,3.201988924
0.5,3.65,-100.268965796,-3.202022055,3.8081e-05,3.201983974
0.5,3.7,-100.268962322,-3.202014971,3.5432e-05,3.201979539
0.5,3.75,-100.268959103,-3.202008218,3.2684e-05,3.201975534
0.5,3.8,-100.268956144,-3.202001861,2.999e-05,3.20197187
0.5,3.85,-100.268953431,-3.201995968,2.743e-05,3.201968538
0.5,3.9,-100.268950964,-3.201990669,2.4802e-05,3.201965867
0.5,3.95,-100.268948729,-3.201986582,2.2614e-05,3.201963968
0.5,4.0,-100.268946675,-3.201983352,2.0888e-05,3.201962464
0.55,0.5,-100.177529665,-1.600045769,-0.759577785,2.359623554
0.55,0.55,-100.241068374,-1.744774087,-0.594021639,2.338795726
0.55,0.6,-100.291135325,-1.846879303,-0.471656174,2.318535477
0.55,0.65,-100.331135887,-1.920069245,-0.379203104,2.29927235
0.55,0.7,-100.363462583,-1.973210977,-0.308054235,2.281265212
0.55,0.75,-100.389833609,-2.012400121,-0.252329697,2.264729819
0.55,0.8,-100.411502818,-2.041887169,-0.207977833,2.249865002
0.55,0.85,-100.429406026,-2.064541482,-0.172235394,2.236776876
0.55,0.9,-100.444260395,-2.082271267,-0.143170884,2.225442151
0.55,0.95,-100.456626784,-2.096371422,-0.119368418,2.21573984
0.55,1.0,-100.466949418,-2.107744936,-0.099754499,2.207499434
0.55,1.05,-100.475583378,-2.117031927,-0.083503569,2.200535495
0.55,1.1,-100.482814944,-2.124690235,-0.069976451,2.194666686
0.55,1.15,-100.488877011,-2.131049951,-0.058675385,2.189725336
0.55,1.2,-100.493960692,-2.136352675,-0.049209112,2.185561787
0.55,1.25,-100.498224083,-2.140780391,-0.041265682,2.182046073
0.55,1.3,-100.501798767,-2.144474872,-0.034593419,2.17906829
0.55,1.35,-100.504794775,-2.147551889,-0.028985494,2.176537383
0.55,1.4,-100.507304336,-2.150109048,-0.024270753,2.1743798
0.55,1.45,-100.50940487,-2.1522309,-0.020305784,2.172536684
0.55,1.5,-100.511161388,-2.153990857,-0.016970559,2.170961416
0.55,1.55,-100.512628471,-2.155452527,-0.014163972,2.169616499
0.55,1.6,-100.513851985,-2.156668908,-0.011802068,2.168470976
0.55,1.65,-100.51487049,-2.157684524,-0.009813758,2.167498282
0.55,1.7,-100.515716435,-2.158534499,-0.008140645,2.166675144
0.55,1.75,-100.516417213,-2.159247032,-0.006733327,2.165980358
0.55,1.8,-100.516995906,-2.159844751,-0.005550326,2.165395078
0.55,1.85,-100.517472059,-2.160345015,-0.004557511,2.164902526
0.55,1.9,-100.517862189,-2.160763114,-0.003724897,2.164488011
0.55,1.95,-100.518180247,-2.161110699,-0.003028401,2.1641391
0.55,2.0,-100.518438113,-2.161397777,-0.002447482,2.163845258
0.55,2.05,-100.518645799,-2.161634348,-0.001963459,2.163597808
0.55,2.1,-100.518811758,-2.161827388,-0.001562195,2.163389583
0.55,2.15,-100.518943238,-2.161982893,-0.001231624,2.163214518
0.55,2.2,-100.519046347,-2.1621079,-0.000959777,2.163067677
0.55,2.25,-100.519126169,-2.162207398,-0.000737505,2.162944903
0.55,2.3,-100.519187065,-2.162284365,-0.000558069,2.162842434
0.55,2.35,-100.51923275,-2.16234275,-0.000414242,2.162756992
0.55,2.4,-100.519266239,-2.162386881,-0.000298907,2.162685788
0.55,2.45,-100.51928999,-2.162418784,-0.000207536,2.16262632
0.55,2.5,-100.519306102,-2.162439757,-0.000136601,2.162576358
0.55,2.55,-100.519316315,-2.16245215,-8.1871e-05,2.162534021
0.55,2.6,-100.519321945,-2.162458697,-3.9048e-05,2.162497744
0.55,2.65,-100.519323997,-2.162460355,-5.896e-06,2.162466251
0.55,2.7,-100.519323326,-2.162457292,1.8799e-05,2.162438493
0.55,2.75,-100.519320661,-2.162450335,3.6658e-05,2.162413677
0.55,2.8,-100.519316543,-2.16244107,4.9895e-05,2.162391175
0.55,2.85,-100.519311331,-2.162430506,5.9934e-05,2.162370572
0.55,2.9,-100.519305313,-2.162418478,6.6941e-05,2.162351537
0.55,2.95,-100.519298771,-2.162404981,7.1111e-05,2.16233387
0.55,3.0,-100.519291942,-2.162390594,7.3191e-05,2.162317403
0.55,3.05,-100.519284974,-2.162376188,7.4151e-05,2.162302037
0.55,3.1,-100.51927795,-2.162362137,7.4406e-05,2.162287731
0.55,3.15,-100.519270944,-2.16234818,7.3725e-05,2.162274455
0.55,3.2,-100.519264052,-2.162334185,7.1989e-05,2.162262197
0.55,3.25,-100.519257366,-2.162320457,6.9453e-05,2.162251004
0.55,3.3,-100.519250936,-2.162307531,6.6615e-05,2.162240916
0.55,3.35,-100.519244783,-2.162295475,6.3607e-05,2.162231868
0.55,3.4,-100.519238919,-2.162284191,6.0464e-05,2.162223726
0.55,3.45,-100.519233367,-2.162273419,5.7006e-05,2.162216412
0.55,3.5,-100.519228155,-2.162263168,5.3275e-05,2.162209893
0.55,3.55,-100.519223306,-2.162253599,4.9381e-05,2.162204218
0.55,3.6,-100.519218814,-2.162245151,4.5731e-05,2.162199421
0.55,3.65,-100.519214656,-2.162237731,4.2347e-05,2.162195384
0.55,3.7,-100.519210805,-2.162231102,3.9179e-05,2.162191923
0.55,3.75,-100.519207253,-2.162224957,3.6009e-05,2.162188949
0.55,3.8,-100.519203996,-2.162219341,3.2973e-05,2.162186368
0.55,3.85,-100.51920102,-2.162214157,2.9993e-05,2.162184164
